,sighting,报道,citizen,officer,纬度,经度,city,nation,city_interpol,has_weapon,has_hat,has_jacket,behavior
14,2003-06-29,2003-07-04,Charles Martinez,Kathryn Martin,41.77583,140.73667,Hakodate,JP,Tokyo,False,False,True,happy
15,2009-01-27,2009-02-15,Timothy Frederick,Jerry Collins,31.96258,73.97117,Naushahra Virkan,PK,Karachi,False,False,True,over-complimenting
16,2008-06-24,2008-08-10,Justin Jones,Rachel Barnes,33.86419,48.26258,Aleshtar,IR,Tehran,False,False,True,over-complimenting
17,2002-12-11,2002-12-15,John Wong,Allen Baker,41.29444,69.67639,Parkent,UZ,Tashkent,False,True,True,scared
18,2018-05-13,2018-06-12,Jacqueline Henry,James Dawson,25.75728,75.37991,Deoli,IN,Kolkata,False,True,True,complaining
19,1988-07-02,1988-07-28,Cassandra Salazar,Ryan Wilkinson,41.77583,140.73667,Hakodate,JP,Tokyo,False,False,True,happy
20,2011-06-29,2011-08-26,Jimmy Mendez,Micheal Thomas,6.33444,124.95278,Tupi,PH,Manila,False,True,True,panicking
21,2006-12-09,2006-12-21,Denise Hill,Jasmine Rowland,-6.48167,106.85417,Cibinong,ID,Jakarta,False,True,True,out-of-control
22,1990-04-26,1990-05-19,Jennifer Rogers,Michael Tate,55.8736,85.4265,Yashkino,RU,Novokuznetsk,False,True,True,injured
23,2012-12-16,2013-02-07,Jessica Blackburn,Julia Cannon,55.54028,89.20083,Sharypovo,RU,Krasnoyarsk,True,True,True,worried
24,2021-04-30,2021-05-06,Patrick Nguyen,Leslie Curtis,16.0438,120.4861,Manaoag,PH,Manila,False,True,True,scared
25,2004-08-14,2004-08-22,Andrew Ross,Kenneth Barrett,-7.54972,110.71639,Ngemplak,ID,Jakarta,False,False,True,evasive
26,2021-08-26,2021-08-30,Jessica Gould,Frank Gutierrez,23.02677,113.13148,Foshan,CN,Shanghai,False,True,True,injured
27,2008-06-09,2008-07-03,Amanda Nguyen,Katelyn Garcia,22.10194,85.37752,Barbil,IN,Kolkata,False,True,True,hostile
28,2018-02-19,2018-04-16,Stacey Collier,James Anderson,9.82564,78.25795,Tiruppuvanam,IN,Kolkata,False,True,True,out-of-control
29,1994-08-22,1994-09-27,Briana Nelson,Jeffrey Graves MD,6.95194,121.96361,Recodo,PH,Manila,False,False,True,lonely
30,1996-12-27,1997-01-24,Wendy Trevino,Melissa Ellis,16.0567,103.65309,Roi Et,TH,Bangkok,False,True,True,hostile
31,2004-01-29,2004-02-27,Desiree Harper,Sarah Green,40.66482,122.22833,Yingkou,CN,Shanghai,False,False,True,panicking
32,1999-12-28,2000-01-23,Amanda Pham,Bethany Chen,10.58806,77.24779,Udumalaippettai,IN,Kolkata,True,False,True,lonely
33,2001-10-23,2001-11-20,Jason Humphrey,Belinda Thompson,32.17629,75.06583,Fazilpur,PK,Karachi,False,False,True,silent
34,2014-09-17,2014-11-14,Kristi Fox,Melinda Evans,40.78206,72.34424,Andijon,UZ,Tashkent,False,True,False,hostile
35,2012-10-17,2012-10-24,Stephanie White,Randy Simmons,21.46527,83.97573,Sambalpur,IN,Kolkata,False,True,True,tense
36,2014-06-19,2014-08-15,Travis Dixon,Robert Baird,40.85158,122.74754,Haicheng,CN,Shanghai,False,True,True,out-of-control
37,1986-06-17,1986-07-01,Jacqueline Cruz,Kim Dyer,-6.8048,110.8405,Kudus,ID,Jakarta,False,True,True,sad
38,1986-02-19,1986-03-19,Robin Melton,Laura Oconnor,25.75728,75.37991,Deoli,IN,Kolkata,False,True,True,friendly
39,1985-07-16,1985-09-01,Denise Fisher,Jennifer Cook,55.54028,89.20083,Sharypovo,RU,Krasnoyarsk,False,True,True,friendly
40,1990-10-13,1990-11-30,Eric Johnson,Jennifer George,16.06213,76.0586,Hungund,IN,Kolkata,True,True,True,lonely
41,2006-12-14,2007-02-02,Charlene Haynes,Jeanette Martinez,16.06213,76.0586,Hungund,IN,Kolkata,False,False,True,complaining
42,1997-07-06,1997-09-01,Robert Perez,Jeremy Mason,36.24624,139.07204,Fujioka,JP,Tokyo,False,False,True,complaining
43,1991-03-25,1991-04-18,Amber Scott,Elizabeth Cook,25.92493,73.66633,Sojat,IN,Kolkata,False,False,True,injured
44,2002-01-10,2002-02-27,Nicholas Thornton,Stephanie Brooks,30.81383,75.16878,Moga,IN,Kolkata,False,True,True,worried
45,1995-11-17,1995-12-18,William Robles,Jeanne Green,6.33444,124.95278,Tupi,PH,Manila,False,True,True,silent
46,2017-02-22,2017-02-26,Elizabeth Parker,Alison Peterson,10.58806,77.24779,Udumalaippettai,IN,Kolkata,False,False,True,hostile
47,2007-06-14,2007-06-16,Thomas Winters,Christopher Morrison,55.75556,60.70278,Ozersk,RU,Yekaterinburg,False,True,True,confessing
48,1986-01-21,1986-02-08,Timothy Goodman,Jennifer Hernandez,21.53889,71.57737,Gariadhar,IN,Kolkata,False,True,True,evasive
49,2001-06-26,2001-08-01,Brian Graves,Denise Davis,-7.51611,109.05389,Wangon,ID,Jakarta,False,False,True,silent
50,1998-12-18,1999-01-12,Crystal Davidson,Brandon Miller,18.51957,73.85535,Pune,IN,Kolkata,True,False,True,accusatory
51,2003-01-26,2003-02-06,Kevin King,Reginald Harvey,26.32293,91.00632,Barpeta,IN,Kolkata,False,True,True,unhappy
52,2003-01-05,2003-01-07,Justin Flores,Jacqueline Maldonado,41.09822,120.74792,Nanpiao,CN,Shanghai,False,False,True,oblivious
53,1987-01-22,1987-02-03,Taylor Jones,Angela Johnson,18.18158,76.03889,Osmanabad,IN,Kolkata,False,True,True,hostile
54,2017-07-02,2017-08-08,Larry Turner,Julia Cannon,23.07492,88.28637,Pandua,IN,Kolkata,False,True,True,unhappy
55,2010-11-05,2010-11-08,Matthew Gardner,David Murphy,34.86472,117.55417,Zaozhuang,CN,Shanghai,True,True,False,hostile
56,1985-12-30,1986-02-26,Eric Flowers,Timothy Davis,36.6009,126.665,Hongseong,KR,Seoul,False,False,True,talkative
57,2014-02-15,2014-04-10,Christopher Lawson,Carrie Boone,13.65805,102.56365,Paoy Paet,KH,Phnom Penh,False,True,True,tense
58,1986-01-02,1986-02-11,Randy Smith,Brett Wood,53.14657,140.72287,Nikolayevsk-on-Amure,RU,Vladivostok,True,False,True,evasive
59,1994-07-10,1994-08-13,Jason Simmons,Christopher Ross,24.28859,116.11768,Meizhou,CN,Shanghai,False,False,True,accusatory
60,1993-09-10,1993-11-02,Jon Stokes,Michael Barron,36.0,139.55722,Okegawa,JP,Tokyo,False,False,True,lonely
61,2012-05-21,2012-06-09,Susan Jones,Anna Flores,20.88197,85.83334,Bhuban,IN,Kolkata,False,True,True,over-complimenting
62,2000-07-09,2000-09-02,Shelley Aguirre,Steven Lee,31.28092,74.85849,Patti,IN,Kolkata,False,True,True,worried
63,1989-11-29,1989-12-22,Ann Hancock,Dean Martinez,3.3285,99.1625,Tebingtinggi,ID,Jakarta,False,False,True,accusatory
64,1986-03-05,1986-03-09,Desiree Carpenter,Brian Hickman,14.62578,121.12251,Antipolo,PH,Manila,False,True,True,sad
65,1990-12-16,1991-01-21,Catherine Potter,Kaitlyn Booker,-6.48167,106.85417,Cibinong,ID,Jakarta,False,True,True,silent
66,2003-07-01,2003-08-28,Sean Massey,Rose Reed,26.32293,91.00632,Barpeta,IN,Kolkata,False,True,True,sad
67,1999-03-07,1999-03-29,Jeffrey Griffin,Nicole Adams,16.06213,76.0586,Hungund,IN,Kolkata,True,False,True,hostile
68,2000-11-14,2001-01-09,Sherry Liu,Julia Reynolds,51.78771,56.36091,Saraktash,RU,Yekaterinburg,False,False,True,talkative
69,2016-04-13,2016-05-28,Luke Parker,Kim Dyer,26.44931,91.61356,Rangia,IN,Kolkata,False,False,True,injured
70,2020-03-03,2020-04-11,Gabriella Gordon,Steven Lee,23.29549,113.82465,Licheng,CN,Shanghai,False,False,True,scared
71,1990-11-12,1990-12-24,Jennifer Rodriguez,Jane Hall,-1.26753,116.82887,Balikpapan,ID,Makassar,False,True,True,injured
72,2000-05-17,2000-06-30,Thomas Oconnell,Brittany Henderson,35.20889,111.73861,Changzhi,CN,Shanghai,False,True,False,scared
73,1993-08-17,1993-08-17,Phillip Castro,Shawn Huang,33.78333,114.51667,Wacheng,CN,Shanghai,False,False,True,fleeing
74,2012-03-07,2012-04-28,Holly Kelly,Daniel Brown,51.78771,56.36091,Saraktash,RU,Yekaterinburg,False,True,True,hostile
75,2002-11-19,2002-12-26,Brittney Hale,Logan Duncan,25.92493,73.66633,Sojat,IN,Kolkata,False,True,True,tense
76,1993-12-14,1994-01-07,Barbara Fisher,Shelley Richardson,34.08565,74.80555,Srinagar,IN,Kolkata,False,True,True,complaining
77,2011-09-06,2011-10-13,Roy Henry,Theresa Patterson,5.4709,100.24529,Batu Feringgi,MY,Kuala Lumpur,True,False,True,happy
78,2020-02-10,2020-02-16,Jordan Sullivan,Adam Smith,56.11281,69.49015,Ishim,RU,Yekaterinburg,True,False,True,hostile
79,2004-07-19,2004-09-04,Dennis Rice,Jeffrey Graves MD,36.0,139.55722,Okegawa,JP,Tokyo,False,False,True,lonely
80,1988-07-11,1988-08-16,Melissa May,Angela Strickland,51.78771,56.36091,Saraktash,RU,Yekaterinburg,False,True,True,worried
81,1999-06-11,1999-06-22,Stephanie Drake,Donna Mathis,35.8,137.23333,Gero,JP,Tokyo,False,True,True,tense
82,1996-02-08,1996-02-22,Charles Lane,Ashley Carr,23.9028,89.11943,Kushtia,BD,Dhaka,False,True,True,insulting
83,2003-07-27,2003-08-16,Curtis Rosales,Julie Lopez,22.88783,84.13864,Jashpurnagar,IN,Kolkata,False,False,True,lonely
84,2012-04-01,2012-04-11,Taylor Short,Beth Cuevas,17.30858,97.01124,Kyaikto,MM,Yangon,False,True,False,oblivious
85,2013-10-17,2013-11-25,James Mejia,Nicholas Rowe,22.83957,91.84128,Manikchari,BD,Dhaka,False,True,True,scared
86,1989-09-04,1989-10-13,Jonathan Garcia,Michael Woods,9.82564,78.25795,Tiruppuvanam,IN,Kolkata,False,False,True,tense
87,2003-05-25,2003-07-21,Shannon Mcbride,James Whitehead,19.21667,73.08333,Dombivli,IN,Kolkata,False,False,True,unhappy
88,1987-04-19,1987-06-12,Michelle Kim,Robert Baird,24.41288,76.56719,Aklera,IN,Kolkata,True,True,True,fleeing
89,1997-09-30,1997-11-28,Timothy Yang,Alexis Conway PhD,58.23583,92.48278,Lesosibirsk,RU,Krasnoyarsk,False,True,True,insulting
90,1993-12-04,1994-01-01,William Dorsey,Sherry Aguilar,32.87533,71.57118,Daud Khel,PK,Karachi,False,True,True,oblivious
91,1995-07-25,1995-08-04,Daniel Williams,Stephen Mills,35.82756,137.95378,Ina,JP,Tokyo,True,False,False,over-complimenting
92,2013-02-03,2013-03-25,Marissa Castro,Cristina Reynolds,25.66795,85.83636,Dalsingh Sarai,IN,Kolkata,False,True,True,out-of-control
93,1990-12-20,1990-12-29,Elizabeth Bell,Leslie Anderson,23.07492,88.28637,Pandua,IN,Kolkata,False,False,True,insulting
94,2006-10-17,2006-11-12,Jennifer Gonzales,William Wood,-7.73379,113.69785,Besuki,ID,Jakarta,False,True,True,out-of-control
95,2011-07-14,2011-09-09,Kenneth Montgomery,Lauren Smith,5.90702,116.10146,Donggongon,MY,Kuching,False,False,True,talkative
96,2006-01-12,2006-03-08,Gregory Sherman,Kathy Meadows,10.29085,105.75635,Sa Dec,VN,Ho Chi Minh,False,False,True,happy
97,1989-07-09,1989-07-16,Veronica Wilkins,Gregory Moore,31.82539,72.54064,Sillanwali,PK,Karachi,False,True,True,injured
98,2020-03-17,2020-04-23,Steven Wright,Stacey Morris,25.95533,68.88871,Jhol,PK,Karachi,False,True,True,friendly
99,1989-12-01,1990-01-06,Brian Rowe,Kevin Contreras,40.49748,44.7662,Hrazdan,AM,Yerevan,False,True,True,hostile
100,2008-04-15,2008-05-31,Dr. Joseph Hernandez,Patricia Perez,10.13361,124.84472,Maasin,PH,Manila,True,True,True,oblivious
101,2021-05-24,2021-06-28,Rebecca Hatfield,Daniel Lewis,32.57756,71.52847,Mianwali,PK,Karachi,False,False,True,injured
102,2007-06-08,2007-06-28,Christopher Davis,Christine Obrien,26.76628,83.36889,Gorakhpur,IN,Kolkata,True,False,False,worried
103,1989-08-04,1989-08-17,Theresa Gomez,Stephen Mills,22.75218,72.68533,Kheda,IN,Kolkata,False,False,True,insulting
104,1990-01-06,1990-02-27,Pamela Boyd,Jennifer Swanson,-7.57897,112.23109,Diwek,ID,Jakarta,False,False,True,scared
105,2012-06-19,2012-07-30,Albert Contreras,Ashley Carr,29.69221,72.54566,Hasilpur,PK,Karachi,False,True,True,tense
106,2010-09-05,2010-10-01,Mr. Tyler Macias,Miranda Lester,6.33444,124.95278,Tupi,PH,Manila,False,True,True,evasive
107,1995-09-14,1995-10-17,Michael Phillips,Julia Cannon,38.40917,112.73333,Xinzhou,CN,Shanghai,False,False,True,evasive
108,1987-08-27,1987-10-22,Kristi Weaver,Kimberly Gibson,35.0,136.51667,Komono,JP,Tokyo,False,True,True,fleeing
109,2011-06-23,2011-08-18,Bonnie Tate,James Burnett,30.29184,71.67164,Qadirpur Ran,PK,Karachi,False,False,True,friendly
110,1988-09-17,1988-10-26,Ashley Cherry DDS,Jeremy Mason,45.47885,133.42825,Lesozavodsk,RU,Vladivostok,False,True,True,confessing
111,2007-11-11,2007-12-01,Michael Moody,Kelly Lindsey,43.82634,144.09638,Motomachi,JP,Tokyo,False,False,True,hostile
112,1994-08-21,1994-08-26,Dorothy Thompson,Michael Mueller,36.33011,138.89585,Annaka,JP,Tokyo,False,True,True,confessing
113,2019-12-09,2019-12-15,John Jackson,Lacey Brown,17.54907,82.85749,Elamanchili,IN,Kolkata,False,True,True,unhappy
114,1993-01-08,1993-02-01,Dana Gilbert,Bradley Ewing,35.50056,117.63083,Pingyi,CN,Shanghai,False,True,True,unhappy
115,1994-04-12,1994-04-15,Ms. Nancy Miller,Gabrielle Mendez,6.84019,79.87116,Dehiwala-Mount Lavinia,LK,Colombo,False,True,True,complaining
116,2000-03-26,2000-05-04,Edwin Reilly,Julian Anderson,35.95664,36.7138,Binnish,SY,Damascus,False,False,True,over-complimenting
117,1996-07-11,1996-08-29,Edward Young,Nicole Payne,-6.91806,106.92667,Sukabumi,ID,Jakarta,False,True,True,silent
118,2004-12-04,2004-12-19,Joanne Porter,Jennifer Swanson,0.51667,101.44167,Pekanbaru,ID,Jakarta,False,False,True,talkative
119,1998-09-02,1998-10-29,Crystal Ward,Victor Tapia,25.95533,68.88871,Jhol,PK,Karachi,False,True,True,complaining
120,2014-08-04,2014-09-21,Robert Moore,Stephanie Mcmillan,27.85,112.9,Xiangtan,CN,Shanghai,False,True,True,lonely
121,2003-12-27,2004-02-02,Mackenzie Jackson,Shelly Espinoza,-7.01833,107.60389,Pameungpeuk,ID,Jakarta,False,True,True,evasive
122,2002-09-01,2002-10-20,Fred Smith,Joshua Moore,22.37066,114.10479,Tsuen Wan,HK,Hong Kong,False,False,True,paranoid
123,2016-05-11,2016-05-12,Jasmine Castillo MD,Lauren Johnson,26.44931,91.61356,Rangia,IN,Kolkata,False,False,True,panicking
124,1997-11-21,1997-12-23,Kenneth Huffman,Jeremy Mccullough,29.21399,78.95693,Kashipur,IN,Kolkata,False,True,True,happy
125,2006-05-05,2006-06-27,John Gomez,Parker Mitchell,25.49043,85.94001,Teghra,IN,Kolkata,False,True,True,silent
126,2005-06-02,2005-06-06,Rachael Henderson,Mrs. Kristin Lopez MD,31.71667,73.38333,Sangla Hill,PK,Karachi,False,True,True,oblivious
127,1994-03-28,1994-04-02,Robert Salazar,Zachary Hawkins,14.37395,100.48528,Bang Ban,TH,Bangkok,False,True,True,lonely
128,1997-07-22,1997-09-08,Brandon Prince,Casey Weber,22.88783,84.13864,Jashpurnagar,IN,Kolkata,False,True,True,happy
129,1985-06-28,1985-08-18,Melissa Jackson,Joseph Nguyen,17.30858,97.01124,Kyaikto,MM,Yangon,True,True,True,hostile
130,1987-12-10,1988-02-02,Aaron Jones,Tamara Hall,9.3337,122.8637,Santa Catalina,PH,Manila,False,True,False,accusatory
131,2018-06-28,2018-08-06,Ian Foster,Micheal Thomas,12.35275,121.06761,San Jose,PH,Manila,False,True,True,out-of-control
132,1997-01-05,1997-01-21,Bryan Hughes,Jessica Joseph,0.51667,101.44167,Pekanbaru,ID,Jakarta,True,True,True,happy
133,1988-07-17,1988-08-18,Jennifer Miller,Sonia Mcdaniel,32.54278,111.50861,Danjiangkou,CN,Shanghai,True,False,True,injured
134,2004-05-22,2004-06-29,Sharon Contreras,Garrett Cook,58.7002,59.4839,Kachkanar,RU,Yekaterinburg,True,False,False,unhappy
135,1996-06-14,1996-07-29,Samantha Phillips,Dr. Gregory Gibson,36.24624,139.07204,Fujioka,JP,Tokyo,False,True,True,happy
136,2002-06-12,2002-07-27,Sarah Smith,Jane Hall,13.8196,100.04427,Nakhon Pathom,TH,Bangkok,False,True,True,worried
137,1997-03-06,1997-04-16,Bryan Smith,Loretta Wood,33.4425,129.96972,Karatsu,JP,Tokyo,False,False,False,injured
138,1989-04-09,1989-05-14,Cynthia Gardner,Patricia Edwards,14.64056,104.64992,Kantharalak,TH,Bangkok,False,True,True,silent
139,1990-07-03,1990-08-26,Diana Davis,Kristen Peterson,12.97389,123.99333,Sorsogon,PH,Manila,False,False,False,unhappy
140,1996-01-18,1996-02-21,Mary Miller,Kimberly Stewart,19.21667,73.08333,Dombivli,IN,Kolkata,True,True,True,lonely
141,2006-06-14,2006-06-28,Hannah Pittman,Sarah Reynolds,42.64031,125.51176,Dongfeng,CN,Shanghai,False,True,True,confessing
142,2012-10-30,2012-11-04,Barry Garrett,Kathleen Hicks,54.48147,53.47103,Oktyabr‚Äôskiy,RU,Yekaterinburg,False,True,True,complaining
143,2018-04-30,2018-06-17,James Adkins,Patricia Edwards,13.65805,102.56365,Paoy Paet,KH,Phnom Penh,False,True,True,insulting
144,1999-12-07,1999-12-12,Kelly Chambers,Todd Robinson,38.45598,48.87498,Astara,AZ,Baku,False,True,True,confessing
145,1988-12-16,1988-12-20,Cristina Costa,Michael Tate,47.46657,84.87144,Zaysan,KZ,Almaty,False,True,True,complaining
146,1997-01-17,1997-01-24,Erin Brown,Ashley Davis,35.85,117.7,Dongdu,CN,Shanghai,False,False,True,hostile
147,2000-08-17,2000-10-11,Dana Solomon,Evan Perkins,23.02677,113.13148,Foshan,CN,Shanghai,False,True,True,over-complimenting
148,1996-09-13,1996-10-19,Wendy Washington,Kevin Evans,29.38242,70.91106,Alipur,PK,Karachi,False,True,True,friendly
149,2007-03-17,2007-05-03,Andre Campbell,Christopher Morris,14.0823,98.19151,Dawei,MM,Yangon,False,False,True,complaining
150,2013-03-10,2013-04-23,Dr. Melissa Anderson,Kevin Contreras,36.33011,138.89585,Annaka,JP,Tokyo,False,True,True,tense
151,2019-01-07,2019-01-21,Daniel Pham,Rachel Martin,21.34222,71.30633,Kundla,IN,Kolkata,False,False,True,complaining
152,2002-04-20,2002-04-29,Kimberly Church,Michael Barron,3.3285,99.1625,Tebingtinggi,ID,Jakarta,False,True,True,accusatory
153,1992-11-26,1992-12-08,Andrea Waters,Teresa Sanchez,34.81667,137.4,Toyokawa,JP,Tokyo,False,True,True,injured
154,2004-12-14,2004-12-29,Rebecca Haynes,Kevin Contreras,35.30889,139.55028,Kamakura,JP,Tokyo,False,True,False,complaining
155,1991-07-20,1991-09-05,Debbie Lewis,Sharon Young,42.64031,125.51176,Dongfeng,CN,Shanghai,False,True,True,oblivious
156,2009-06-28,2009-07-22,Daniel Stein,Jessica Conway,36.20389,127.08472,Nonsan,KR,Seoul,False,False,True,scared
157,2011-01-31,2011-02-07,Mark Vaughn,Adam Montes,22.75218,72.68533,Kheda,IN,Kolkata,False,True,True,panicking
158,2005-11-26,2006-01-19,Benjamin Herring,Nicole Scott,36.24624,139.07204,Fujioka,JP,Tokyo,False,False,True,insulting
159,1997-10-02,1997-11-23,Richard Williams,Marie Hernandez,15.58552,102.42587,Bua Yai,TH,Bangkok,False,True,True,out-of-control
160,1993-09-29,1993-10-26,Kari Mathis,Sharon Young,14.8361,120.97844,Guyong,PH,Manila,False,True,True,fleeing
161,2008-07-06,2008-07-09,Carl May,Nicole Hart,14.66,120.56528,Pilar,PH,Manila,False,False,True,paranoid
162,2017-08-11,2017-08-18,Maria Moore,Fernando Davis,10.7375,122.9666,Talisay,PH,Manila,False,False,True,over-complimenting
163,2003-07-31,2003-09-19,Michael Owens,Ms. Sheila Campbell MD,19.21667,73.08333,Dombivli,IN,Kolkata,True,True,True,unhappy
164,1989-09-17,1989-10-17,Tammy Jackson,Laura Reynolds,-8.43333,114.33333,Muncar,ID,Jakarta,False,True,True,panicking
165,2018-04-08,2018-05-12,Blake Park,Jeffrey Johnson,20.88197,85.83334,Bhuban,IN,Kolkata,False,True,True,fleeing
166,2004-02-15,2004-02-24,Christopher Copeland,Nicholas Powell,14.0823,98.19151,Dawei,MM,Yangon,False,False,True,injured
167,2020-02-01,2020-03-23,Andrea Martin,Robert Maxwell,40.11583,67.84222,Jizzax,UZ,Samarkand,False,False,True,worried
168,2003-04-29,2003-06-21,James Graves,Lauren Johnson,21.59983,71.21169,Amreli,IN,Kolkata,False,False,True,friendly
169,2002-07-01,2002-08-17,David Clark,Brandy Mendez,10.20898,123.758,Naga,PH,Manila,False,False,True,lonely
170,2003-03-10,2003-03-15,Alfred Hernandez,Steven Edwards,24.41288,76.56719,Aklera,IN,Kolkata,False,True,True,out-of-control
171,2014-05-22,2014-07-16,Emily Mclaughlin,Kimberly Cooper,36.53333,136.61667,Nonoichi,JP,Tokyo,False,True,True,worried
172,2018-05-26,2018-06-13,Courtney Potter,Andrew Miranda,25.66795,85.83636,Dalsingh Sarai,IN,Kolkata,False,True,True,scared
173,1998-05-25,1998-07-09,Natalie Hansen,Alan Ford,25.49043,85.94001,Teghra,IN,Kolkata,False,True,True,injured
174,1990-09-26,1990-10-23,Nicholas Serrano PhD,Destiny Peterson,23.29549,113.82465,Licheng,CN,Shanghai,False,False,True,complaining
175,2007-12-15,2007-12-23,Amber Bradshaw,James Burnett,-3.5403,118.9707,Majene,ID,Makassar,False,True,True,worried
176,1999-12-20,1999-12-22,Janet Pratt,Casey Wheeler,35.85,117.7,Dongdu,CN,Shanghai,False,True,True,friendly
177,2012-10-14,2012-11-20,Mary Williamson,David Strong,45.75279,130.57211,Boli,CN,Shanghai,False,True,True,happy
178,1989-11-04,1989-12-11,Jessica Garza,James Bryant,56.9083,60.8019,Beryozovsky,RU,Yekaterinburg,False,True,False,injured
179,2009-12-03,2010-01-21,Tina Mayer,Jose Hunt,34.8825,128.62667,Sinhyeon,KR,Seoul,True,False,True,confessing
180,1998-12-28,1999-02-07,Sonya Mccann,Brandy White,36.0,139.55722,Okegawa,JP,Tokyo,True,False,True,paranoid
181,1998-09-15,1998-10-02,Kevin Hammond,Marie Hernandez,6.84019,79.87116,Dehiwala-Mount Lavinia,LK,Colombo,False,True,True,out-of-control
182,2003-03-01,2003-04-09,Timothy Watson,Theresa Patterson,36.53333,136.61667,Nonoichi,JP,Tokyo,True,False,True,worried
183,1990-07-05,1990-07-09,Melissa Randall,Kari Chandler,-6.8048,110.8405,Kudus,ID,Jakarta,False,True,True,over-complimenting
184,2003-02-05,2003-03-03,Debra Lopez,Edward Anderson,-1.26753,116.82887,Balikpapan,ID,Makassar,False,True,True,unhappy
185,2016-03-14,2016-05-11,Patricia Bentley,Brittany Burnett,3.3285,99.1625,Tebingtinggi,ID,Jakarta,True,False,True,injured
186,1988-05-24,1988-06-16,Chelsea Smith,Joseph Nguyen,53.14657,140.72287,Nikolayevsk-on-Amure,RU,Vladivostok,False,False,True,confessing
187,1997-12-26,1998-02-21,Angela Hendrix,David Strong,36.75965,137.36215,Namerikawa,JP,Tokyo,False,True,True,sad
188,1986-10-26,1986-11-24,Daniel Wilkinson,Charlene Mccormick,41.09246,45.36561,Qazax,AZ,Baku,False,False,True,panicking
189,1987-07-09,1987-07-23,Cody Stein,Karen Weber,36.53333,136.61667,Nonoichi,JP,Tokyo,False,False,True,insulting
190,2014-12-18,2014-12-22,Henry Jones,Cathy Durham,23.73333,114.68333,Heyuan,CN,Shanghai,False,True,False,tense
191,2002-11-08,2002-12-06,Marie Santos,Scott Nixon,15.46063,99.89166,Thap Than,TH,Bangkok,False,True,True,tense
192,2021-12-11,2021-12-30,James Lee,Marie Hernandez,30.35028,112.19028,Jingzhou,CN,Shanghai,False,True,True,tense
193,2018-02-24,2018-02-27,Jennifer Jones,Ashley Davis,12.97389,123.99333,Sorsogon,PH,Manila,False,False,False,evasive
194,1994-05-29,1994-06-25,Anthony Christian,Dean Martinez,53.30972,83.62389,Novosilikatnyy,RU,Barnaul,False,True,False,friendly
195,2010-11-13,2010-12-23,Kelly Myers,Mary Weaver,47.83333,59.6,Shalqar,KZ,Aqtobe,False,True,True,evasive
196,1990-09-11,1990-10-20,Rebecca Jones,Leslie Anderson,14.8361,120.97844,Guyong,PH,Manila,False,False,True,scared
197,2000-06-15,2000-07-28,Jay Brown,Sarah Reynolds,3.31332,117.59152,Tarakan,ID,Makassar,False,False,False,insulting
198,1988-09-09,1988-09-18,Robin Gonzales,Emily Brown,36.24624,139.07204,Fujioka,JP,Tokyo,False,True,True,panicking
199,2005-09-20,2005-09-24,Sabrina Duffy,Matthew Young,37.56667,140.11667,Inawashiro,JP,Tokyo,False,False,True,oblivious
200,2021-06-15,2021-07-08,Deanna Jarvis,Frank Gutierrez,14.66,120.56528,Pilar,PH,Manila,False,True,True,hostile
201,2004-08-20,2004-09-17,Juan Walker,Sarah Reynolds,14.0823,98.19151,Dawei,MM,Yangon,True,True,True,panicking
