,date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
32,1995-01-12,1995-02-11,Dr. Andre Rivera,Todd Garcia,5.30383,-1.98956,Tarkwa,GH,Accra,False,True,False,scared
33,2006-05-26,2006-06-30,Daniel Williams,Nicole Scott,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,oblivious
34,1994-03-16,1994-04-22,Robert Berry,Christian Moore,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,out-of-control
35,2009-01-05,2009-01-09,Amanda Allen,Miranda Lester,4.96667,10.7,Tonga,CM,Douala,False,True,True,silent
36,1990-06-22,1990-07-25,Ryan Buchanan,Stephanie Taylor,5.84752,-5.682,Lakota,CI,Abidjan,True,True,True,panicking
37,1994-12-22,1995-01-28,Robert Moore,Alexandra Jones,-4.06667,37.73333,Same,TZ,Dar es Salaam,False,True,True,unhappy
38,2013-10-19,2013-10-30,Christina Lee,Kimberly Cooper,9.535,-13.68778,Camayenne,GN,Conakry,False,False,True,silent
39,2007-02-10,2007-04-02,Barbara Garza,Tiffany Bennett,-21.44236,27.46153,Tonota,BW,Gaborone,True,False,True,insulting
40,2001-03-01,2001-04-11,Jesse Roberts,Candice Johnson,13.70727,9.15013,Mirriah,NE,Niamey,False,True,True,happy
41,2001-09-08,2001-09-17,Jason Crane,Paul Rogers,-24.19436,29.00974,Mokopane,ZA,Johannesburg,False,False,False,accusatory
42,2013-11-14,2013-11-14,Jacqueline Newton,Cynthia Moore,3.11988,35.59642,Lodwar,KE,Nairobi,False,False,False,over-complimenting
43,2017-07-24,2017-08-23,Christina Prince,Kevin Martin,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,panicking
44,1993-03-12,1993-04-29,Andrew Rodriguez,Todd Garcia,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,scared
45,2013-11-10,2013-12-16,Amy Bowen,Thomas Hamilton,-21.44236,27.46153,Tonota,BW,Gaborone,False,True,True,accusatory
46,2012-06-01,2012-07-03,Lori Murphy,Austin Williams,31.20176,29.91582,Alexandria,EG,Cairo,False,True,True,lonely
47,1993-05-19,1993-07-12,Tracy Sullivan,Jasmine Rowland,36.76639,3.47717,Boumerdas,DZ,Algiers,False,True,True,happy
48,2005-10-21,2005-12-07,Tiffany Hood,Valerie Griffin,26.67319,31.4976,Juhaynah,EG,Cairo,False,False,True,friendly
49,2019-05-25,2019-07-21,Tara Jefferson MD,Mark Williams,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,lonely
50,2008-12-01,2008-12-25,Jason Guerrero,Meredith Gibbs,-26.93366,29.24152,Standerton,ZA,Johannesburg,True,True,True,evasive
51,2013-08-14,2013-08-19,Jose Moore,Kenneth Barrett,34.31,-2.16,Jerada,MA,Casablanca,False,True,True,over-complimenting
52,2020-04-30,2020-05-27,Steven Stafford,Mr. Frederick Bryant,-13.7804,34.4587,Salima,MW,Blantyre,False,False,True,evasive
53,2008-01-17,2008-02-29,Richard Mcdaniel,Angelica Chan,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,tense
54,2004-06-05,2004-08-03,Mary Tyler,Lacey Brown,5.84752,-5.682,Lakota,CI,Abidjan,False,False,True,hostile
55,2001-09-14,2001-09-30,Kevin Graves,Todd Garcia,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,False,True,fleeing
56,1998-06-29,1998-07-15,Daniel Cooley,Denise Park,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,worried
57,1995-12-04,1996-01-10,Robert Thomas,David Richardson,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,sad
58,1998-10-12,1998-10-15,Paula Carpenter,Kimberly Woods,33.42585,-6.00137,Oulmes,MA,Casablanca,False,True,True,friendly
59,2011-06-30,2011-08-03,Lisa Stevens,Victor Tapia,36.61954,4.08282,Beni Douala,DZ,Algiers,False,True,True,unhappy
60,2005-09-13,2005-10-08,Jeffery Martinez,John Hayes,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,evasive
61,1997-09-28,1997-10-29,Robin Miller,Ashley Davis,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,False,out-of-control
62,1996-03-26,1996-03-26,Gregory White,Zachary Hawkins,4.96667,10.7,Tonga,CM,Douala,False,False,True,accusatory
63,1992-10-09,1992-11-04,David Henry,Alexa Flores,36.08497,9.37082,Siliana,TN,Tunis,False,False,True,panicking
64,2015-06-28,2015-07-08,Kellie Gray,Nancy White,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,True,True,happy
65,2003-07-07,2003-07-20,Jon Smith,Steven Lee,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,False,complaining
66,2008-02-12,2008-03-16,April Brown,Jennifer Snyder,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,happy
67,2011-09-13,2011-09-22,Alicia Rivera,Michelle Lee,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,over-complimenting
68,2014-08-06,2014-08-06,Tammy Lopez,Jennifer Swanson,5.30383,-1.98956,Tarkwa,GH,Accra,True,False,True,hostile
69,1992-12-23,1993-02-04,Amy Hanson,Sonia Mcdaniel,12.74409,-8.07257,Kati,ML,Bamako,True,False,True,sad
70,1991-08-29,1991-09-28,Gary Jordan,Cynthia Carr,37.16911,10.03478,El Alia,TN,Tunis,False,True,True,panicking
71,1999-04-26,1999-06-01,Joseph Mills,Emily Mccoy,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,False,True,over-complimenting
72,1988-10-26,1988-12-24,Robert Lin,Dr. Crystal Mccormick,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,talkative
73,2012-09-24,2012-09-24,Sheri Kaiser,Joseph Arellano,11.15583,42.7125,'Ali Sabieh,DJ,Djibouti,False,False,False,friendly
74,2021-04-25,2021-04-25,Denise Smith,Destiny Peterson,2.41669,30.98551,Paidha,UG,Kampala,False,True,True,lonely
75,1990-05-01,1990-06-10,Melanie Chapman,Terry Erickson,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,True,True,friendly
76,1992-11-07,1992-12-23,Joan Wallace,Samuel Cunningham,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,lonely
77,2006-01-04,2006-01-18,Patricia Bush,Randy Simmons,6.8485,3.64633,Shagamu,NG,Lagos,True,True,False,paranoid
78,2012-12-31,2013-01-27,Miss Jennifer Willis MD,Lisa Sweeney,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,True,True,panicking
79,1988-08-31,1988-10-12,Kayla Hebert,Michael Riddle,33.42585,-6.00137,Oulmes,MA,Casablanca,False,True,True,friendly
80,2008-04-13,2008-04-30,Lisa Edwards,Holly Chapman,9.58126,8.2926,Kafanchan,NG,Lagos,False,True,True,insulting
81,2012-04-06,2012-05-28,Michael Simmons,Laura Oconnor,33.43443,-5.22126,Azrou,MA,Casablanca,True,True,True,paranoid
82,2019-03-16,2019-04-03,Alexis West,Cynthia Carr,33.43443,-5.22126,Azrou,MA,Casablanca,False,True,True,worried
83,1987-06-26,1987-07-27,Hailey Parsons,Jordan Torres,8.48714,-13.2356,Freetown,SL,Freetown,False,False,True,tense
84,1997-09-20,1997-10-21,Melissa Alexander,Evan Perkins,-13.7804,34.4587,Salima,MW,Blantyre,False,True,True,worried
85,2019-09-21,2019-11-18,Jeffrey Cooper,Mr. James Hooper,6.03333,37.55,Arba Minch,ET,Addis Ababa,False,True,True,unhappy
86,1996-09-23,1996-09-24,Grace Walsh,Adam Smith,36.72544,3.55665,Thenia,DZ,Algiers,False,True,True,scared
87,2019-06-04,2019-08-02,Michael Padilla,Mark Valenzuela,6.45407,3.39467,Lagos,NG,Lagos,False,False,True,paranoid
88,2014-04-08,2014-06-06,Megan Hernandez,Brett Scott,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,paranoid
89,2020-05-27,2020-06-27,Andrew Roberts,Carrie Boone,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,complaining
90,1997-02-12,1997-03-16,Emily Miles,Christopher Sandoval,11.86064,9.0027,Gaya,NG,Lagos,False,False,True,injured
91,1994-12-07,1994-12-11,Hannah Miller,James Bryant,-8.73508,24.99798,Kamina,CD,Lubumbashi,False,False,True,friendly
92,2002-07-24,2002-08-11,Nicholas Rogers,Ashley Larson,34.15429,3.50309,Messaad,DZ,Algiers,False,True,True,happy
93,2013-07-19,2013-08-29,Justin Jackson,Susan Bowers,5.27247,-3.59625,Bonoua,CI,Abidjan,False,False,True,paranoid
94,2015-07-16,2015-08-30,James Chase,Matthew Brown,0.46005,34.11169,Busia,KE,Nairobi,False,True,True,unhappy
95,2015-09-02,2015-09-04,Mark Owens,Ronald Wong PhD,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,False,True,evasive
96,2021-07-21,2021-08-11,John Evans,Holly Chapman,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,True,True,paranoid
97,2022-01-08,2022-01-21,Jennifer Roberson,Carrie Jones,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,talkative
98,2009-03-17,2009-03-20,Christopher Johnson,Ryan Wilkinson,31.20176,29.91582,Alexandria,EG,Cairo,False,False,True,talkative
99,2007-01-02,2007-02-27,John Johnson,Daniel Moore,-21.98333,16.91667,Okahandja,,Windhoek,False,True,True,tense
100,1990-04-01,1990-05-17,Ryan Chandler,Charles Moran,3.51667,11.5,Mbalmayo,CM,Douala,False,True,True,hostile
101,1996-09-21,1996-10-18,Marissa Pugh,Anthony Hamilton,6.46346,-2.31938,Bibiani,GH,Accra,False,True,True,sad
102,1990-09-01,1990-09-22,Mario Barber,Christina Krause,2.41669,30.98551,Paidha,UG,Kampala,True,True,True,panicking
103,1989-08-20,1989-08-29,Anthony Brooks,Jeanne Green,2.41669,30.98551,Paidha,UG,Kampala,False,True,True,injured
104,2003-05-30,2003-06-16,Philip Boone,Daniel Lewis,7.06273,-1.4001,Mampong,GH,Accra,False,False,True,paranoid
105,2020-03-11,2020-04-01,Shannon Hines,Dr. Gregory Gibson,7.6,4.18333,Olupona,NG,Lagos,False,True,True,talkative
106,2014-05-03,2014-05-26,Kara Flores,Diana Torres,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,oblivious
107,2015-10-04,2015-11-09,Matthew Moore,Andrew Sullivan,13.56667,-15.6,Farafenni,GM,Banjul,False,False,True,paranoid
108,2021-10-14,2021-11-10,David Hart,Laura Santana,-4.26613,15.28318,Brazzaville,CG,Brazzaville,True,False,True,fleeing
109,1996-08-25,1996-09-23,Matthew Griffin,Shelia Holmes,6.46346,-2.31938,Bibiani,GH,Accra,False,True,False,oblivious
110,1990-03-13,1990-03-29,Latasha Santiago,Todd Garcia,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,lonely
111,1990-09-13,1990-09-23,Donald Atkins,Natalie Jordan,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,False,True,friendly
112,2013-09-07,2013-10-12,Kelly Anderson,Tiffany Bennett,-24.19436,29.00974,Mokopane,ZA,Johannesburg,False,False,True,sad
113,1996-08-31,1996-09-12,Mikayla Brown,John Hayes,-27.76952,30.79165,Vryheid,ZA,Johannesburg,False,False,True,talkative
114,2002-11-16,2003-01-09,Valerie White,Emily Mccoy,36.76775,2.95924,Cheraga,DZ,Algiers,True,True,True,lonely
115,2007-02-06,2007-03-22,Kimberly Herrera,Pamela Gonzales,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,tense
116,2012-03-10,2012-03-31,Erica Lopez,Evelyn Hines,13.70727,9.15013,Mirriah,NE,Niamey,False,True,True,talkative
117,2020-11-03,2020-12-15,Linda Cline,Allen Lawrence,3.02013,30.91105,Arua,UG,Kampala,False,True,True,complaining
118,2014-09-27,2014-11-23,Jeffery Flores,Victoria Rodriguez,9.89206,43.38531,Baki,SO,Mogadishu,False,True,True,oblivious
119,1999-02-26,1999-03-02,Mr. Alex Jackson,Cristina Reynolds,11.15583,42.7125,'Ali Sabieh,DJ,Djibouti,False,True,True,lonely
120,2001-02-08,2001-03-01,Mrs. Angela Parsons,Alan Ford,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,False,True,friendly
121,1992-08-12,1992-09-13,Travis Luna,Summer Mosley,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,False,True,out-of-control
122,1992-05-22,1992-07-16,John Williams,Chloe Harris,36.61954,4.08282,Beni Douala,DZ,Algiers,False,False,True,lonely
123,2013-11-08,2013-12-20,Gina Williams DVM,Nicole Hart,9.535,-13.68778,Camayenne,GN,Conakry,False,False,True,complaining
124,2008-05-29,2008-07-19,Mary Thompson,Carrie Boone,6.45407,3.39467,Lagos,NG,Lagos,False,True,True,out-of-control
125,1993-01-02,1993-02-13,Justin Roman,Michael Bailey,-1.9487,30.4347,Rwamagana,RW,Kigali,True,True,True,out-of-control
126,1991-12-10,1992-01-17,Christopher Huerta,Stephanie Brooks,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,over-complimenting
127,2006-05-08,2006-05-16,Mary Ross,David Wagner,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,happy
128,1997-08-19,1997-09-05,Rita Fernandez,Kerri Clay,10.61285,12.19458,Biu,NG,Lagos,False,True,True,worried
129,2009-03-15,2009-03-22,Lisa Bradley,Bethany Chen,12.74409,-8.07257,Kati,ML,Bamako,False,True,True,over-complimenting
130,2003-04-13,2003-05-24,James Brewer,Elizabeth Cook,0.46005,34.11169,Busia,KE,Nairobi,False,True,True,panicking
131,2002-03-30,2002-04-08,Christina Johnson,Kendra Mercado,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,True,True,True,talkative
132,2022-05-25,2022-06-06,Sarah Owens,Charles Moran,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,False,False,True,hostile
133,2004-06-06,2004-07-08,Morgan Ferguson,Joshua Curtis,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,False,True,accusatory
134,2001-01-13,2001-01-18,Susan Winters,Matthew Brown,10.61285,12.19458,Biu,NG,Lagos,False,False,True,panicking
135,1989-09-01,1989-10-16,Dana Jones,Aaron Nguyen,6.46346,-2.31938,Bibiani,GH,Accra,False,True,True,unhappy
136,2019-09-27,2019-10-05,Dillon Ramirez,Brittany Henderson,-21.44236,27.46153,Tonota,BW,Gaborone,False,False,True,lonely
137,2005-05-05,2005-07-02,Stacey Young,Donald Pierce,12.74482,4.52514,Argungu,NG,Lagos,False,True,True,lonely
138,1998-05-18,1998-07-06,Sheena Joyce,Gordon Jimenez,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,True,tense
139,2018-11-02,2018-12-25,Allison Knight,Jeffrey Graves MD,24.96334,10.18003,Ghat,LY,Tripoli,False,True,False,paranoid
140,1986-08-31,1986-10-09,James Garcia,Jeremy Moran,12.18441,18.69303,Mongo,TD,Ndjamena,True,True,False,over-complimenting
141,2021-07-08,2021-07-16,Amanda Stuart,Thomas Hamilton,6.8485,3.64633,Shagamu,NG,Lagos,True,True,True,tense
142,1988-02-27,1988-03-27,Chad Wilson,Stephanie Mcmillan,5.84752,-5.682,Lakota,CI,Abidjan,False,True,True,hostile
143,2016-04-06,2016-05-23,Mitchell Jones,Samuel Cunningham,3.11988,35.59642,Lodwar,KE,Nairobi,False,True,True,out-of-control
144,1993-02-24,1993-04-15,Betty Parker,Jason Mccarthy,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,worried
145,1990-04-06,1990-04-12,Anne Weaver,Nancy White,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,happy
146,2001-11-30,2002-01-06,Carlos Brown,Jimmy Patel,-1.63333,13.58357,Franceville,GA,Libreville,False,False,True,talkative
147,2007-06-24,2007-06-29,Lindsay Whitaker,Stephanie Brooks,4.94273,15.87735,Carnot,CF,Bangui,False,True,True,evasive
148,1995-08-24,1995-10-15,Jose Watson,Todd Robinson,-8.73508,24.99798,Kamina,CD,Lubumbashi,True,False,True,fleeing
149,2001-08-01,2001-09-11,Tonya Walker,Joseph Rogers,11.85,38.01667,Debre Tabor,ET,Addis Ababa,False,True,True,hostile
150,2010-06-15,2010-08-05,Lisa Pearson,Dawn Simmons,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,panicking
151,2006-01-07,2006-02-21,Dr. Scott Anderson,Justin White,7.06273,-1.4001,Mampong,GH,Accra,False,True,True,lonely
152,2010-12-27,2011-01-02,Nicole Robinson,Jacob Salazar,7.65649,4.92235,Efon-Alaaye,NG,Lagos,False,False,True,tense
153,2004-03-15,2004-04-14,Christian Richardson,Jeffery Lee,35.72917,10.58082,Msaken,TN,Tunis,False,True,False,accusatory
154,2015-10-16,2015-10-20,Jonathan Roberts,Jorge Novak,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,True,silent
155,2012-04-20,2012-06-13,Brandon Ford,Wayne Knight,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,True,True,panicking
156,2001-04-22,2001-05-15,Paul Martin,Laura Santana,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,insulting
157,2003-01-19,2003-02-10,Ryan Smith,Shelly Espinoza,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,worried
158,2021-11-28,2022-01-17,James Smith,Christopher Baker,35.06544,1.04945,Frenda,DZ,Algiers,False,True,True,friendly
159,1988-03-08,1988-04-18,Benjamin Bennett,David Woodward,13.56667,-15.6,Farafenni,GM,Banjul,False,True,True,sad
160,1993-02-13,1993-03-29,Matthew Ortiz,Rita Johnson,-23.85972,35.34722,Maxixe,MZ,Maputo,False,True,False,accusatory
161,2012-03-03,2012-03-23,Scott Escobar,Kevin Contreras,7.06273,-1.4001,Mampong,GH,Accra,False,True,True,complaining
162,1988-08-06,1988-09-01,Katie Thompson,Robert Maxwell,4.94273,15.87735,Carnot,CF,Bangui,False,False,True,friendly
163,2003-11-25,2003-12-19,Deborah Brooks,Laura Oconnor,24.96334,10.18003,Ghat,LY,Tripoli,False,False,True,lonely
164,2008-06-03,2008-06-11,Amber Dennis,Christine Obrien,-27.76952,30.79165,Vryheid,ZA,Johannesburg,True,False,True,friendly
165,1990-07-18,1990-08-31,Heather Stewart,Jasmine Rowland,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,talkative
166,1997-07-31,1997-08-15,Ashley Mitchell,Kimberly Woods,0.49113,29.47306,Beni,CD,Lubumbashi,False,False,True,over-complimenting
167,2007-05-29,2007-06-22,Timothy Rodriguez,Shawn Ramirez,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,True,panicking
168,2003-03-16,2003-04-16,Jeffrey Powell,Brandy White,4.96667,10.7,Tonga,CM,Douala,False,True,True,unhappy
169,1986-09-19,1986-11-04,Stephanie Williams,Rachel Martin,-7.76667,35.7,Iringa,TZ,Dar es Salaam,True,True,True,scared
170,2013-06-23,2013-08-13,Melanie Schultz,Cassidy Brown,34.31,-2.16,Jerada,MA,Casablanca,False,True,True,tense
171,2008-02-13,2008-03-16,Regina Keller,Jerry Collins,-7.76667,35.7,Iringa,TZ,Dar es Salaam,True,True,True,worried
172,1995-08-15,1995-09-15,Megan Welch,Ashley Carr,24.96334,10.18003,Ghat,LY,Tripoli,False,False,True,evasive
173,2016-03-12,2016-05-02,Ryan Collins,Adam Mathis,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,tense
174,1989-05-05,1989-05-15,Chase Garcia,Dr. John Webb DVM,34.15429,3.50309,Messaad,DZ,Algiers,True,True,True,insulting
175,2007-09-14,2007-10-29,Christina Mccann,Teresa Diaz,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,insulting
176,1989-09-18,1989-09-18,Steven Orr,Sarah Reynolds,12.18441,18.69303,Mongo,TD,Ndjamena,False,False,True,evasive
177,2004-05-28,2004-06-03,Mary Clay,Grant Humphrey,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,True,False,unhappy
178,2013-10-20,2013-12-08,Steven Spencer,Ray Hall,33.92866,-6.90656,Temara,MA,Casablanca,False,True,True,evasive
179,1998-05-22,1998-07-20,Renee Sanchez,Shelia Holmes,12.18441,18.69303,Mongo,TD,Ndjamena,False,True,True,lonely
180,1994-07-19,1994-08-30,Ashley Porter,Elizabeth Cook,34.15429,3.50309,Messaad,DZ,Algiers,True,False,True,silent
181,1993-10-26,1993-11-11,Jared Jarvis,Michael Bailey,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,accusatory
182,1993-12-08,1993-12-17,Michael Miller,Alexandra Jones,2.41669,30.98551,Paidha,UG,Kampala,False,False,True,complaining
183,1995-06-02,1995-06-02,Brian Carroll,William Gallagher,36.72544,3.55665,Thenia,DZ,Algiers,True,False,True,accusatory
184,2006-01-23,2006-03-20,Jeremy Lopez,Ashley Farrell,36.08497,9.37082,Siliana,TN,Tunis,False,True,True,paranoid
185,1988-07-29,1988-09-05,Gregory Davenport,Brian Delacruz,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,paranoid
186,2004-07-08,2004-08-31,Anthony Flowers,Susan Bowers,-7.76667,35.7,Iringa,TZ,Dar es Salaam,False,False,True,happy
187,2011-05-18,2011-06-24,Nancy Mason,Angelica Chan,36.27462,4.85668,Bordj Zemoura,DZ,Algiers,False,True,True,friendly
188,2014-04-21,2014-04-24,Michael Delgado,Christina Ball,5.84752,-5.682,Lakota,CI,Abidjan,False,False,True,worried
189,2015-05-11,2015-06-24,Michael Tucker,Marie Hernandez,0.03813,36.36339,Nyahururu,KE,Nairobi,False,True,True,paranoid
190,2006-06-13,2006-06-13,Jason Dawson,Maria Tucker,33.92866,-6.90656,Temara,MA,Casablanca,False,True,True,talkative
191,1992-02-10,1992-03-22,Susan Perry,Emily Johns,36.06386,4.62744,El Achir,DZ,Algiers,False,True,True,over-complimenting
192,1992-11-10,1992-12-12,Levi Jones,Lindsey Wheeler,-1.9487,30.4347,Rwamagana,RW,Kigali,True,True,True,out-of-control
193,2013-08-31,2013-09-21,Kelsey Ford,Kenneth Barrett,35.72917,10.58082,Msaken,TN,Tunis,True,True,True,confessing
194,1990-12-06,1991-01-27,Ann Tucker,Reginald Harvey,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,False,True,silent
195,2011-11-28,2012-01-23,Steven Shepard,Wesley Horton,6.8485,3.64633,Shagamu,NG,Lagos,False,True,True,accusatory
196,2005-09-04,2005-10-29,Amber Wright,Gregory Hanson,33.43443,-5.22126,Azrou,MA,Casablanca,False,False,True,insulting
197,2002-08-19,2002-09-26,Lisa Smith,Christopher Morrison,0.03813,36.36339,Nyahururu,KE,Nairobi,False,True,True,tense
198,2015-12-21,2016-01-04,Joshua Lewis,Barbara Bailey,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,talkative
199,2000-05-14,2000-06-01,Courtney Bryant,Melissa Ellis,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,True,injured
200,2010-12-12,2011-02-03,Crystal Mcdonald,Sarah Green,36.76775,2.95924,Cheraga,DZ,Algiers,False,False,True,sad
201,1997-05-08,1997-05-30,Ashley Hanna,Rachel Lucas,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,False,False,evasive
